Complaint Number,Status,Date Entered,House Number,ZIP Code,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
3590556,CLOSED,02/04/2017,251         ,11216    ,HALSEY STREET                   ,3052860,303,   ,30,ERT  ,02/05/2017,Y1,02/04/2017,11/07/2018 12:00:00 AM
4492675,CLOSED,08/30/2011,112-06      ,11429    , 221 STREET                     ,4241711,413,   ,10,ERT  ,08/31/2011,Y1,08/30/2011,11/07/2018 12:00:00 AM
4709413,CLOSED,10/08/2017,164-33      ,11366    ,77 ROAD                         ,4150890,408,   ,37,ERT  ,10/08/2017,Y1,10/07/2017,11/07/2018 12:00:00 AM
3436225,CLOSED,02/12/2013,1438        ,11216    ,ATLANTIC AVENUE                 ,3804558,308,   ,31,ERT  ,02/21/2013,Y1,02/20/2013,11/07/2018 12:00:00 AM
4549732,CLOSED,05/28/2013,158-14      ,11433    ,111 AVENUE                      ,4263872,412,   ,30,ERT  ,05/28/2013,Y1,05/28/2013,11/07/2018 12:00:00 AM
4616360,CLOSED,04/22/2015,75-58 GARAGE,11366    ,179 STREET                      ,4490483,408,   ,30,ERT  ,04/23/2015,Y1,04/22/2015,11/07/2018 12:00:00 AM
3316981,CLOSED,08/29/2009,294         ,11237    ,GROVE STREET                    ,3076132,304,   ,30,ERT  ,08/29/2009,Y1,08/29/2009,11/07/2018 12:00:00 AM
3528994,CLOSED,09/04/2015,1312        ,11230    ,GLENWOOD ROAD                   ,3178963,314,   ,73,BKLYN,09/08/2015,Y1,09/04/2015,11/07/2018 12:00:00 AM
3355113,CLOSED,09/17/2010,179         ,11216    ,QUINCY STREET                   ,3050601,303,   ,30,ERT  ,09/17/2010,Y1,09/16/2010,11/07/2018 12:00:00 AM
2142013,CLOSED,03/01/2010,967         ,10469    ,EAST  222 STREET                ,2064249,212,   ,73,BRONX,03/02/2010,Y1,03/01/2010,11/07/2018 12:00:00 AM
3398699,CLOSED,12/17/2011,1216        ,11221    ,BUSHWICK AVENUE                 ,3077814,304,   ,30,ERT  ,12/21/2011,Y1,12/19/2011,11/07/2018 12:00:00 AM
1333390,CLOSED,09/11/2012,408         ,10035    ,EAST 120 STREET                 ,1054878,111,   ,37,MAN.,09/12/2012,Y1,09/11/2012,11/07/2018 12:00:00 AM
2204545,CLOSED,10/27/2014,811         ,10460    ,EAST 181 STREET                 ,2092330,206,   ,30,ERT  ,10/27/2014,Y1,10/27/2014,11/07/2018 12:00:00 AM
5118747,CLOSED,12/01/2015,451         ,10310    ,CLOVE ROAD                      ,5006031,501,   ,30,ERT  ,12/02/2015,Y1,12/01/2015,11/07/2018 12:00:00 AM
4585979,CLOSED,04/21/2014,67-18       ,11692    ,BEACH CHANNEL DRIVE             ,4302846,414,   ,45,ERT  ,04/22/2014,Y1,04/21/2014,11/07/2018 12:00:00 AM
2178293,CLOSED,10/12/2012,1061        ,10456    ,GRANT AVENUE                    ,2002634,204,   ,45,BRONX,10/12/2012,Y1,10/10/2012,11/07/2018 12:00:00 AM
3668731,CLOSED,09/24/2018,2253        ,11229    ,EAST 13 STREET                  ,3200698,315,   ,30,ERT  ,09/28/2018,Y1,09/25/2018,11/07/2018 12:00:00 AM
3605891,CLOSED,06/09/2017,368         ,11208    ,ARLINGTON AVENUE                ,3087734,305,   ,5G,OBM  ,06/09/2017,Y1,06/09/2017,11/07/2018 12:00:00 AM
2263309,CLOSED,06/12/2018,1211        ,10472    ,EVERGREEN AVENUE                ,2024998,209,   ,45,SPOPS,06/28/2018,Y1,06/27/2018,11/07/2018 12:00:00 AM
4697280,CLOSED,07/03/2017,63-11       ,11379    ,METROPOLITAN AVENUE             ,4062045,405,   ,30,ERT  ,07/03/2017,Y1,07/03/2017,11/07/2018 12:00:00 AM
4681061,CLOSED,02/05/2017,41-47       ,11377    ,70 STREET                       ,4030571,402,   ,30,ERT  ,02/06/2017,Y1,02/05/2017,11/07/2018 12:00:00 AM
3367444,CLOSED,02/02/2011,2923        ,11235    ,BRIGHTON    3 STREET            ,3244380,313,   ,30,BKLYN,02/02/2011,Y1,02/02/2011,11/07/2018 12:00:00 AM
3643509,CLOSED,03/26/2018,1333        ,11213    ,PROSPECT PLACE                  ,3036065,308,   ,30,ERT  ,03/26/2018,Y1,03/26/2018,11/07/2018 12:00:00 AM
2175530,CLOSED,07/19/2012,3026        ,10469    ,ELY AVENUE                      ,2062297,212,   ,30,ERT  ,07/20/2012,Y1,07/19/2012,11/07/2018 12:00:00 AM
3415477,CLOSED,06/17/2012,270         ,11211    ,SOUTH 2 STREET                  ,3063170,301,   ,30,ERT  ,06/18/2012,Y1,06/17/2012,11/07/2018 12:00:00 AM
3550200,CLOSED,03/10/2016,1654        ,11233    ,EASTERN PARKWAY                 ,3813960,316,   ,10,ERT  ,03/11/2016,Y1,03/11/2016,11/07/2018 12:00:00 AM
4749713,CLOSED,09/30/2018,23-59       ,11101    ,BORDEN AVENUE                   ,4000756,402,IBZ,30,ERT  ,09/30/2018,Y1,09/30/2018,11/07/2018 12:00:00 AM
